Name	ID	Date	Time		Latitude	Longitude	Speed
Odaline	401778	1/11/2019	17:00		47.630260	07.561037	0
TERMINATED - 401775	401775	1/11/2019	18:00		47.630630	07.560932	0
Odaline	401778	1/11/2019	18:00		47.630503	07.560582	0.19
TERMINATED - 401774 lost (ex-Olocen)	401774	1/11/2019	18:00		47.630097	07.560942	0.74
Onissoi	401776	1/11/2019	18:00		47.630002	07.561170	0
Odissa	401777	1/11/2019	18:00		47.630107	07.561227	0.19
TERMINATED - 401775	401775	1/11/2019	19:00		47.630038	07.561037	0.19
Odissa	401777	1/11/2019	19:00		47.629905	07.561122	1.48
Onissoi	401776	1/11/2019	19:00		47.629802	07.560867	0.56
Odaline	401778	1/11/2019	19:00		47.630040	07.561138	0.93
TERMINATED - 401774 lost (ex-Olocen)	401774	1/11/2019	19:00		47.629917	07.562062	0.19
TERMINATED - 401775	401775	1/11/2019	20:00		47.629757	07.559160	0.19
Odaline	401778	1/11/2019	20:00		47.629852	07.559572	0.19
TERMINATED - 401774 lost (ex-Olocen)	401774	1/11/2019	20:00		47.629683	07.559048	0.37
Odissa	401777	1/11/2019	20:00		47.629583	07.559613	0.19
Onissoi	401776	1/11/2019	20:00		47.628088	07.557738	0.56
TERMINATED - 401775	401775	1/11/2019	21:00		47.629523	07.559338	0.74
Odaline	401778	1/11/2019	21:00		47.629753	07.559288	0.19
Onissoi	401776	1/11/2019	21:00		47.630047	07.558375	0.19
TERMINATED - 401774 lost (ex-Olocen)	401774	1/11/2019	21:00		47.629197	07.559692	0.56
Odissa	401777	1/11/2019	21:00		47.629643	07.558858	0.19
TERMINATED - 401775	401775	1/11/2019	22:00		47.629092	07.558882	0.56
TERMINATED - 401774 lost (ex-Olocen)	401774	1/11/2019	22:00		47.630133	07.559073	0.56
Odissa	401777	1/11/2019	22:00		47.629525	07.559200	1.67
Onissoi	401776	1/11/2019	22:00		47.629673	07.560537	0.93
Odaline	401778	1/11/2019	22:00		47.628778	07.560060	0.56
TERMINATED - 401774 lost (ex-Olocen)	401774	1/11/2019	23:00		47.630100	07.557973	0.74
Odissa	401777	1/11/2019	23:00		47.630255	07.557953	1.48
Odaline	401778	1/11/2019	23:00		47.629637	07.558250	0.19
Onissoi	401776	1/11/2019	23:00		47.630420	07.557910	0.56
TERMINATED - 401775	401775	1/11/2019	23:00		47.629972	07.558098	2.59
Onissoi	401776	1/12/2019	00:00		47.629312	07.557252	0.93
TERMINATED - 401775	401775	1/12/2019	00:00		47.629173	07.557767	0
Odissa	401777	1/12/2019	00:00		47.629460	07.556835	0.74
Odaline	401778	1/12/2019	00:00		47.628733	07.558198	0
TERMINATED - 401774 lost (ex-Olocen)	401774	1/12/2019	00:00		47.628593	07.557497	0
TERMINATED - 401775	401775	1/12/2019	01:00		47.629567	07.559140	0.74
Odissa	401777	1/12/2019	01:00		47.630345	07.560243	0.56
TERMINATED - 401774 lost (ex-Olocen)	401774	1/12/2019	01:00		47.631595	07.554538	0.56
Onissoi	401776	1/12/2019	01:00		47.629827	07.559375	0.74
Odaline	401778	1/12/2019	01:00		47.629555	07.558800	0.56
Odaline	401778	1/12/2019	02:00		47.629585	07.559853	0.74
TERMINATED - 401775	401775	1/12/2019	02:00		47.629627	07.560158	0.37
Odissa	401777	1/12/2019	02:00		47.630043	07.560297	1.11
Onissoi	401776	1/12/2019	02:00		47.629300	07.561588	1.3
TERMINATED - 401774 lost (ex-Olocen)	401774	1/12/2019	02:00		47.629668	07.559947	0.74
Onissoi	401776	1/12/2019	03:00		47.631115	07.560117	0.19
Odaline	401778	1/12/2019	03:00		47.630833	07.560250	0.19
TERMINATED - 401775	401775	1/12/2019	03:00		47.630857	07.560115	0.37
TERMINATED - 401774 lost (ex-Olocen)	401774	1/12/2019	03:00		47.630307	07.560140	2.59
Odissa	401777	1/12/2019	03:00		47.630925	07.560397	0
TERMINATED - 401775	401775	1/12/2019	04:00		47.630292	07.559913	1.11
Odaline	401778	1/12/2019	04:00		47.630232	07.559857	0.56
Onissoi	401776	1/12/2019	04:00		47.630510	07.559883	0.37
